Alert ID,Customer ID,Loan ID,Alert Type,Alert Date,Alert Priority,Alert Description,Follow-Up Action Required,Alert Status
1003,50002,2002,High Credit Utilization,2023-07-26,Medium,"Mrs. Maria Rodriguez, a 28-year-old female from Mexico, has reached her credit limit on her credit card. Her current balance of $8000 is 85% of her available credit. We recommend that Mrs. Rodriguez reduce her expenses and make a payment to avoid any potential damage to her credit score. The credit card was issued on January 20th, 2022, with a credit limit of $10000. Please advise Mrs. Rodriguez to make a payment of at least $2000 within the next 30 days. If the payment is not made, we will have to report this to the credit bureau. The current interest rate is 20.99%. Please contact Mrs. Rodriguez to discuss the payment plan. ",Contact Customer,Open
1004,50003,2003,Late Payment Fee,2023-07-27,Low,"Mr. Liam Chen, a 42-year-old male from China, has incurred a late payment fee on his loan. The payment was due on July 20th, but it was made on July 25th. The late fee is $25. We recommend that Mr. Chen make his next payment on time to avoid any further fees. The loan was taken out on April 15th, 2022, with an initial loan amount of $8000 and a monthly payment of $200. Please contact Mr. Chen to discuss the payment plan. The current balance is $6500. Please advise Mr. Chen to make a payment of at least $200 within the next 30 days.",Contact Customer,Open
ARL-001,CUS-12345,LNK-001,Overdue Payment,2023-07-25,High,"The account holder, Mr. Kofi Mensah, a 35-year-old Ghanaian resident, has failed to make a payment on his loan. His loan was due on 2023-07-15, and the amount outstanding is $10000. Mr. Mensah has a good credit history and has consistently made payments on time in the past. However, due to unforeseen circumstances, he is currently facing financial difficulties. We kindly request that Mr. Mensah make the payment as soon as possible to avoid any further action.",Contact the customer to discuss payment arrangements,Open
ARL-002,CUS-67890,LNK-002,Credit Limit Exceeded,2023-07-26,Medium,"Mrs. Sofia Rodriguez, a 28-year-old Mexican-American living in the United States, has exceeded her credit limit on her credit card. Her current balance is $5500, which is $2000 above her approved limit. We recommend that Mrs. Rodriguez reduce her spending or make a payment to bring her balance below the limit. Failure to do so may result in late fees and damage to her credit score.",Send a notification to the customer to reduce spending or make a payment,Open
ARL-003,CUS-34567,LNK-003,Late Payment,2023-07-27,Low,"Mr. Jian Li, a 42-year-old Chinese national living in Australia, has made a late payment on his loan. His payment was due on 2023-07-20, and the payment was received on 2023-07-25. Although the payment has been made, we will send a reminder to Mr. Li to ensure he is aware of the payment due date for future payments.",Send a reminder to the customer to be aware of future payment due dates,Open
ARL-004,CUS-90123,LNK-004,Defaulted Loan,2023-07-28,Critical,"Ms. Maria Hernandez, a 29-year-old Puerto Rican living in Spain, has defaulted on her loan. Her loan was due on 2023-07-15, and the amount outstanding is $8000. We have sent several reminders to Ms. Hernandez, but she has failed to make a payment. We will proceed with collection actions to recover the debt.",Proceed with collection actions,Open
ARL-005,CUS-56789,LNK-005,Credit Score Decrease,2023-07-29,Medium,"Mr. Liam Chen, a 38-year-old British national living in Canada, has experienced a decrease in his credit score. His current credit score is 620, which is 50 points lower than his previous score. We recommend that Mr. Chen work on improving his credit habits to improve his credit score.",Recommend to the customer to improve credit habits,Open
1102,54321,21987,Overdue Payment,2024-07-26,High,Customer is 3 days past due on a $1500 loan. Payment is required to avoid further penalties. Please contact the customer to discuss payment arrangements.,Contact Customer,Active
1103,98765,21988,Low Credit Score,2024-07-27,Medium,The customer's credit score has decreased by 50 points in the past 3 months. This may impact their ability to secure future loans. Please review the customer's credit report and provide guidance on improving their credit score.,Review Credit Report,Active
1104,54321,21989,High Credit Utilization,2024-07-28,Low,"The customer's credit utilization ratio is 80%, which is higher than the recommended 30%. Please advise the customer to reduce their credit utilization to avoid further credit score damage.",Advise Customer,Active
1105,98765,21990,Payment Plan Needed,2024-07-29,High,The customer requires a payment plan to cover the next 6 months. Please work with the customer to create a payment plan that meets their financial needs.,Create Payment Plan,Active
1106,12345,21991,Defaulted Loan,2024-07-30,Critical,The customer has defaulted on a $2000 loan. Please initiate collection procedures and work with the customer to resolve the debt.,Initiate Collection,Active
1107,67890,21992,Credit Limit Increase,2024-07-31,Low,The customer's credit limit has been increased by 20%. Please advise the customer on responsible credit usage and encourage them to avoid overspending.,Advise Customer,Active
1108,11111,21993,Overdue Payment,2024-08-01,High,Customer is 5 days past due on a $3000 loan. Payment is required to avoid further penalties. Please contact the customer to discuss payment arrangements.,Contact Customer,Active
1109,22222,21994,Low Credit Score,2024-08-02,Medium,The customer's credit score has decreased by 30 points in the past 6 months. This may impact their ability to secure future loans. Please review the customer's credit report and provide guidance on improving their credit score.,Review Credit Report,Active
1001,CUST_0001,LOAN_0001,Credit Limit Exceeded,2022-01-01,High,The customer's credit limit has been exceeded by $10000. The customer's current balance is $20000 and their credit limit is $10000. Immediate action is required to avoid further charges.,Review customer's account and adjust credit limit if necessary,Active
1002,CUST_0002,LOAN_0002,Payment Overdue,2022-01-15,Medium,The customer's payment for loan LOAN_0002 is overdue by 10 days. The total amount due is $5000. The customer should be contacted to arrange a payment plan.,Contact customer to arrange payment plan,Active
1003,CUST_0003,LOAN_0003,Credit Score Update,2022-02-01,Low,The customer's credit score has been updated to 750. The customer's credit history is satisfactory and they are eligible for a credit limit increase. Please review the customer's account and adjust the credit limit accordingly.,Review customer's account and adjust credit limit if necessary,Active
1004,CUST_0004,LOAN_0004,Loan Application Approved,2022-03-01,High,The customer's loan application LOAN_0004 has been approved. The loan amount is $50000 and the interest rate is 5%. Please contact the customer to arrange the loan details.,Contact customer to arrange loan details,Active
1005,CUST_0005,LOAN_0005,Credit Limit Exceeded,2022-04-01,High,The customer's credit limit has been exceeded by $20000. The customer's current balance is $30000 and their credit limit is $10000. Immediate action is required to avoid further charges. The customer has a history of overspending and may require a payment plan.,"Review customer's account and adjust credit limit if necessary, and contact customer to arrange payment plan",Active
1006,CUST_0006,LOAN_0006,Payment Overdue,2022-05-01,Medium,The customer's payment for loan LOAN_0006 is overdue by 20 days. The total amount due is $10000. The customer should be contacted to arrange a payment plan. The customer has a history of late payments and may require additional assistance.,Contact customer to arrange payment plan and review customer's account for potential assistance,Active
1007,CUST_0007,LOAN_0007,Credit Score Update,2022-06-01,Low,The customer's credit score has been updated to 800. The customer's credit history is excellent and they are eligible for a credit limit increase. Please review the customer's account and adjust the credit limit accordingly. The customer is a resident of Brazil and has a diverse financial history.,Review customer's account and adjust credit limit if necessary,Active
1008,CUST_0008,LOAN_0008,Loan Application Approved,2022-07-01,High,The customer's loan application LOAN_0008 has been approved. The loan amount is $75000 and the interest rate is 6%. Please contact the customer to arrange the loan details. The customer is a resident of India and has a strong credit history.,Contact customer to arrange loan details,Active
1009,CUST_0009,LOAN_0009,Credit Limit Exceeded,2022-08-01,High,The customer's credit limit has been exceeded by $15000. The customer's current balance is $25000 and their credit limit is $10000. Immediate action is required to avoid further charges. The customer has a history of overspending and may require a payment plan. The customer is a resident of Japan and has a diverse financial history.,"Review customer's account and adjust credit limit if necessary, and contact customer to arrange payment plan",Active
1002,12345,98765,High Risk,2023-07-20,3,"The customer's credit score has dropped by 50 points in the last 3 months. This is a high-risk situation as the customer's debt-to-income ratio is now above 50%. The loan officer should review the customer's financial situation and consider adjusting the loan terms to ensure the customer can meet their payments. The customer's financial situation is as follows: They have a monthly income of $5000, and their monthly expenses are $4500. They have 2 credit cards with a balance of $2000 and $1000, and 1 car loan with a balance of $8000. They have been making their payments on time for the past 6 months, but their credit score has been declining steadily. The loan officer should also review the customer's credit report to see if there are any other issues that may be affecting their credit score. The customer should be contacted to discuss their financial situation and come up with a plan to get their credit score back on track. The loan officer should also consider offering the customer a credit counseling service to help them manage their debt. The customer should be informed of the potential risks of defaulting on their loan and the consequences of late payments. The loan officer should also review the customer's loan terms to ensure they are fair and reasonable. The customer should be contacted regularly to monitor their financial situation and make any necessary adjustments to the loan terms.",Contact the customer to discuss their financial situation and come up with a plan to get their credit score back on track.,Open
1001,12345,78901,High Risk,2022-03-01,Critical,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",Immediate Review,Active
1002,67890,45678,Low Risk,2022-03-02,Low,"At vero eos et accusamus et iusto odio dignissim qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae.",Review in 3 days,Active
1003,34567,90123,Medium Risk,2022-03-03,Medium,"Fusce a diam sit amet lacus iaculis luctus. Sed sed urna auctor, dictum arcu vel, bibendum ex. Proin in sapien non sapien luctus venenatis vel vel nulla. Cras faucibus purus ut massa malesuada, sed ultrices sapien bibendum. Donec at tellus bibendum, finibus dui in, pulvinar lacus. Sed bibendum, nunc ac dictum viverra, urna dui malesuada arcu, in mollis ex ante sit amet nulla. Aliquam vel malesuada metus. Sed vestibulum ex ut tellus ornare, eget blandit arcu facilisis.",Review in 5 days,Active
1004,90123,23456,High Risk,2022-03-04,Critical,"Mauris rhoncus, ante id posuere rutrum, arcu magna viverra risus, vel imperdiet tellus lacus at libero. Praesent quis justo sit amet dui viverra porta ut in augue. Aenean id sagittis tellus, et viverra ante. Nulla facilisi. Integer auctor lacus in mi congue, et eleifend risus sollicitudin. Cras et justo sit amet erat blandit ornare. Nulla facilisi. Praesent quis justo sit amet dui viverra porta ut in augue. Aenean id sagittis tellus, et viverra ante.",Immediate Review,Active
1005,45678,78901,Low Risk,2022-03-05,Low,"Proin viverra, nisl et blandit gravida, est sapien viverra magna, nec viverra diam urna et arcu. Nullam vel metus quis orci tempor tempor. In vel metus sit amet metus faucibus malesuada. Sed auctor felis quis tellus vestibulum, sed viverra est malesuada. In hac habitasse platea dictumst. Praesent ut sapien sit amet risus accumsan mollis ut in augue. Aenean id sagittis tellus, et viverra ante.",Review in 3 days,Active
